n,mean_k,mean_time,mean_grad_norm,mean_fx,mean_conv_rate,runs
2,5.6667,0.0049121,6.9868e-09,6.2605e-18,2.0482,6
1000,12.833,0.013023,1.7092e-07,8.3092e-16,1.4254,6
10000,14.5,0.08597,5.6621e-08,1.6046e-16,1.3883,6
100000,15.167,0.80956,9.5975e-08,6.2346e-16,1.2242,6
