n,mean_k,mean_time,mean_grad_norm,mean_fx,mean_conv_rate,runs
2,4,0.00072882,1.7107e-06,-1.4721,2.3775,6
1000,21.5,0.013641,2.285e-05,-427.4,1.3989,6
10000,28.833,0.07032,2.5013e-05,-4159.9,1.5556,6
100000,33.833,1.2509,6.3514e-05,-41444,1.3643,6
