n,mean_k,mean_time,mean_grad_norm,mean_fx,mean_conv_rate,runs
2,5.8333,0.0054501,5.0114e-08,2.1921e-16,1.8811,6
1000,8.5,0.011832,1.1331e-07,1.2374e-15,1.5438,6
10000,7.6667,0.051847,1.0616e-07,2.2924e-15,1.6723,6
100000,9,0.45591,1.698e-07,2.5335e-15,1.6677,6
