Point ID,n,h,is_dynamic,success,k,grad_norm_final,fx_final,convergence_rate,time
5,1000,1e-08,True,yes,9,8.1459e-08,2.595e-16,1.4178,0.023477
0,1000,1e-08,False,yes,5,1.7908e-08,1.548e-17,1.8487,0.014048
1,1000,1e-08,False,yes,10,1.3839e-08,7.0165e-18,1.3835,0.026337
2,1000,1e-08,False,yes,9,5.7907e-08,1.2949e-16,1.8029,0.023452
3,1000,1e-08,False,yes,9,2.1265e-07,1.7725e-15,1.4472,0.024141
4,1000,1e-08,False,yes,10,4.1769e-12,6.8743e-25,1.5952,0.028926
5,1000,1e-08,False,yes,10,1.0749e-11,4.4664e-24,1.604,0.02576
0,10000,1e-08,True,yes,5,1.7909e-08,1.5482e-17,1.9277,0.063073
1,10000,1e-08,True,yes,11,1.7734e-13,1.1406e-27,1.4161,0.11555
2,10000,1e-08,True,yes,11,3.704e-08,4.9276e-17,1.2549,0.12802
3,10000,1e-08,True,yes,7,5.5079e-07,1.2846e-14,1.6808,0.078828
4,10000,1e-08,True,yes,11,4.8319e-07,9.3823e-15,1.4622,0.1204
5,10000,1e-08,True,yes,8,1.1003e-07,4.7723e-16,1.5646,0.088278
0,10000,1e-08,False,yes,5,1.7909e-08,1.5482e-17,1.9277,0.064024
1,10000,1e-08,False,yes,10,8.0811e-07,2.5254e-14,1.4474,0.12592
2,10000,1e-08,False,yes,10,2.7281e-12,2.9024e-25,1.5612,0.12468
3,10000,1e-08,False,yes,11,2.298e-13,1.9329e-27,1.4155,0.13573
4,10000,1e-08,False,yes,10,1.3487e-09,6.9542e-20,1.4874,0.10874
5,10000,1e-08,False,yes,10,2.6097e-07,2.5108e-15,1.4392,0.13677
0,100000,1e-08,True,yes,5,1.7919e-08,1.5503e-17,1.9614,0.64146
1,100000,1e-08,True,yes,12,3.5087e-12,4.9574e-25,1.7807,1.5046
2,100000,1e-08,True,yes,11,5.2419e-10,1.0834e-20,1.4921,1.2909
3,100000,1e-08,True,yes,12,1.4568e-08,8.1623e-18,1.4492,1.5129
4,100000,1e-08,True,yes,10,6.8707e-11,1.8002e-22,1.5323,1.3043
5,100000,1e-08,True,yes,10,2.6088e-08,2.72e-17,1.4922,1.3711
0,100000,1e-08,False,yes,5,1.7919e-08,1.5503e-17,1.9614,0.63452
1,100000,1e-08,False,yes,10,7.9033e-08,2.5369e-16,1.4908,1.2877
2,100000,1e-08,False,yes,11,4.9417e-09,9.4558e-19,1.4756,1.3597
3,100000,1e-08,False,yes,8,7.9112e-07,2.4846e-14,1.5392,0.83126
4,100000,1e-08,False,yes,11,2.1635e-12,1.8483e-25,1.4969,1.2692
5,100000,1e-08,False,yes,8,1.3753e-09,7.5013e-20,1.61,0.9835
0,2,1e-12,True,yes,5,1.3199e-07,8.4531e-16,1.8807,0.010693
1,2,1e-12,True,yes,6,2.3903e-07,2.6115e-15,1.8009,0.0095306
2,2,1e-12,True,yes,7,3.1803e-11,4.796e-23,1.7359,0.011737
3,2,1e-12,True,yes,5,3.4328e-08,5.2935e-17,1.9036,0.0080093
4,2,1e-12,True,yes,6,4.4153e-07,8.1819e-15,1.7461,0.0097757
5,2,1e-12,True,yes,6,1.4132e-09,8.9182e-20,1.8174,0.010023
0,2,1e-12,False,yes,5,1.3199e-07,8.4531e-16,1.8807,0.0086836
1,2,1e-12,False,yes,5,1.5221e-07,1.013e-15,2.0058,0.0078647
2,2,1e-12,False,yes,7,7.3867e-07,2.2824e-14,1.8271,0.013361
3,2,1e-12,False,yes,6,4.0684e-09,8.064e-19,1.7917,0.012048
4,2,1e-12,False,yes,6,1.8213e-10,1.5899e-21,1.8949,0.011849
5,2,1e-12,False,yes,6,7.0511e-08,2.3243e-16,1.7538,0.012391
0,1000,1e-12,True,yes,5,1.7908e-08,1.548e-17,1.8487,0.014712
1,1000,1e-12,True,yes,10,1.3098e-08,7.0256e-18,1.5322,0.025713
2,1000,1e-12,True,yes,10,9.1453e-11,3.2911e-22,1.5678,0.032115
3,1000,1e-12,True,yes,10,6.9416e-13,1.6867e-26,1.5709,0.030348
4,1000,1e-12,True,yes,9,4.5329e-09,7.0614e-19,1.5145,0.022829
5,1000,1e-12,True,yes,9,1.0121e-09,3.5818e-20,1.3036,0.026305
0,1000,1e-12,False,yes,5,1.7908e-08,1.548e-17,1.8487,0.014353
1,1000,1e-12,False,yes,10,7.4101e-12,1.8902e-24,1.7108,0.027116
2,1000,1e-12,False,yes,10,1.6335e-10,9.1335e-22,1.5285,0.026795
3,1000,1e-12,False,yes,10,9.0967e-09,3.266e-18,1.5247,0.023555
4,1000,1e-12,False,yes,10,7.2911e-09,2.0468e-18,1.4851,0.030965
5,1000,1e-12,False,yes,11,8.1403e-13,2.6075e-26,1.4575,0.035142
0,10000,1e-12,True,yes,5,1.7909e-08,1.5482e-17,1.9277,0.072742
1,10000,1e-12,True,yes,10,5.2358e-07,1.0222e-14,1.345,0.13875
2,10000,1e-12,True,yes,10,1.0617e-12,3.9019e-26,1.5013,0.13581
3,10000,1e-12,True,yes,10,1.7771e-10,1.1792e-21,1.2787,0.097881
4,10000,1e-12,True,yes,11,4.8114e-11,7.9504e-23,1.5554,0.099904
5,10000,1e-12,True,yes,11,7.685e-10,2.3205e-20,1.446,0.12482
0,10000,1e-12,False,yes,5,1.7909e-08,1.5482e-17,1.9277,0.072499
1,10000,1e-12,False,yes,10,7.2314e-10,1.9692e-20,1.506,0.11199
2,10000,1e-12,False,yes,9,1.3661e-08,6.777e-18,1.5563,0.085039
3,10000,1e-12,False,yes,11,1.4498e-13,7.4952e-28,1.3273,0.1391
4,10000,1e-12,False,yes,10,4.5548e-10,7.9723e-21,1.54,0.13021
5,10000,1e-12,False,yes,11,2.5759e-10,2.6171e-21,1.2814,0.11314
0,100000,1e-12,True,yes,5,1.7919e-08,1.5503e-17,1.9614,0.57471
1,100000,1e-12,True,yes,8,4.8215e-11,8.8439e-23,1.697,0.88219
2,100000,1e-12,True,yes,9,4.5339e-11,8.0778e-23,1.5743,0.95392
3,100000,1e-12,True,yes,9,3.1177e-07,3.856e-15,1.5186,0.97817
4,100000,1e-12,True,yes,10,3.3111e-10,4.3497e-21,1.5238,0.91452
5,100000,1e-12,True,yes,11,1.6807e-10,1.1247e-21,1.5012,1.2309
0,100000,1e-12,False,yes,5,1.7919e-08,1.5503e-17,1.9614,0.55679
1,100000,1e-12,False,yes,10,2.1195e-11,1.764e-23,1.537,1.2546
2,100000,1e-12,False,yes,10,1.7155e-10,1.15e-21,1.5264,1.1423
3,100000,1e-12,False,yes,10,7.3817e-08,2.151e-16,1.4855,1.0888
4,100000,1e-12,False,yes,10,3.0626e-11,3.6797e-23,1.5253,1.1327
5,100000,1e-12,False,yes,10,6.1866e-11,1.5186e-22,1.5318,1.2485
